l_c_x,l_c_y,l_r_x,l_r_y,l_t_x,l_t_y,l_l_x,l_l_y,l_b_x,l_b_y,r_c_x,r_c_y,r_r_x,r_r_y,r_t_x,r_t_y,r_l_x,r_l_y,r_b_x,r_b_y,x,y
317.333546,231.430049,323.191299,231.330299,317.119846,225.978699,311.288891,231.492963,317.450256,236.905818,383.575287,231.597376,389.408112,231.72718,383.389053,225.927844,377.684479,231.436028,383.758926,237.245493,1564,84
470.05764,299.953423,476.322594,303.814974,472.830124,294.52961,463.557816,295.986471,467.147102,305.387735,534.226875,337.375832,540.122643,340.473375,537.085724,331.783819,528.34404,334.211283,531.459808,342.930851,1367,15
277.982178,281.521082,283.744259,281.621418,277.744503,276.515779,272.203045,281.337948,278.191051,286.428366,345.664177,278.306179,352.055168,277.770853,345.188942,273.267574,339.376373,278.746319,346.130066,283.230743,521,760
225.38702,271.798868,231.982613,270.952492,224.505157,266.452074,218.59169,272.621298,226.212692,277.177906,293.169594,260.86401,298.494835,260.070648,292.235012,255.602074,287.835922,261.608448,294.125404,266.086178,1585,211
220.468693,272.164364,226.958942,271.258135,219.436264,266.693144,213.791885,273.029451,221.466942,277.660446,288.547974,261.074009,294.474525,260.210924,287.431431,255.273657,282.565517,261.866655,289.667339,266.802177,1565,84
363.215294,238.244762,370.494308,237.943554,362.651672,232.318997,355.750504,238.549576,363.720665,244.207563,434.235115,231.208534,440.460548,230.629206,433.576279,225.589843,427.969093,231.713891,434.899521,236.74746,1579,79
387.555885,208.513741,394.036331,208.819442,387.677803,202.735519,380.904274,208.22957,387.359543,214.279118,449.643097,212.207737,455.266953,212.548599,449.739609,206.587,444.03614,211.869078,449.572601,217.806158,1569,97
355.673218,284.805622,362.181244,284.999113,355.240669,278.6584,348.90667,284.555168,355.923233,290.985804,424.665337,281.752968,430.431633,281.606197,423.997307,275.673437,418.830833,281.841316,425.296173,287.803116,1803,13
349.486656,283.136358,355.901566,283.206997,349.06559,276.672821,342.803345,283.016567,349.728546,289.64776,420.056381,279.855509,425.944099,279.749708,419.315796,273.540058,414.069099,279.90941,420.737114,286.142378,1796,11
354.164658,289.211855,361.205673,289.086857,353.697853,283.01568,346.936073,289.302464,354.49707,295.399303,422.705803,285.479422,428.48671,285.322809,422.200623,279.498711,416.915512,285.544109,423.185425,291.37536,1711,610
